time,open,high,low,close
2021-11-29T22:45:00+03:00,4.941,4.946,4.917,4.92
2021-11-29T23:00:00+03:00,4.92,4.942,4.916,4.936
2021-11-29T23:15:00+03:00,4.937,4.946,4.931,4.944
2021-11-29T23:30:00+03:00,4.943,4.955,4.938,4.955
2021-11-29T23:45:00+03:00,4.954,4.962,4.942,4.957
2021-11-30T00:00:00+03:00,4.96,4.98,4.956,4.976
2021-11-30T00:15:00+03:00,4.977,4.999,4.971,4.997
2021-11-30T00:30:00+03:00,4.995,5.003,4.988,4.996
2021-11-30T00:45:00+03:00,4.995,5.02,4.995,5.011
2021-11-30T01:00:00+03:00,5.013,5.022,5.006,5.013
2021-11-30T01:15:00+03:00,5.014,5.024,4.997,5.006
2021-11-30T01:30:00+03:00,5.008,5.018,5.002,5.003
2021-11-30T01:45:00+03:00,5.003,5.01,4.985,5.001
2021-11-30T02:00:00+03:00,5.001,5.005,4.989,4.993
2021-11-30T02:15:00+03:00,4.995,5.021,4.992,5.017
2021-11-30T02:30:00+03:00,5.017,5.019,4.996,5
2021-11-30T02:45:00+03:00,5,5.007,4.987,4.995
2021-11-30T03:00:00+03:00,4.995,5.011,4.986,5.011
2021-11-30T03:15:00+03:00,5.007,5.03,5.006,5.023
2021-11-30T03:30:00+03:00,5.023,5.028,4.992,5.002
2021-11-30T03:45:00+03:00,5.003,5.01,4.988,4.999
2021-11-30T04:00:00+03:00,4.998,5.008,4.986,4.986
2021-11-30T04:15:00+03:00,4.986,4.995,4.966,4.967
2021-11-30T04:30:00+03:00,4.967,4.974,4.956,4.97
2021-11-30T04:45:00+03:00,4.971,4.981,4.963,4.976
2021-11-30T05:00:00+03:00,4.974,5,4.973,4.999
2021-11-30T05:15:00+03:00,4.997,5.012,4.996,5.01
2021-11-30T05:30:00+03:00,5.008,5.012,4.993,5.001
2021-11-30T05:45:00+03:00,5.003,5.003,4.978,4.978
2021-11-30T06:00:00+03:00,4.98,4.985,4.959,4.969
2021-11-30T06:15:00+03:00,4.967,4.969,4.945,4.951
2021-11-30T06:30:00+03:00,4.947,4.956,4.911,4.911
2021-11-30T06:45:00+03:00,4.911,4.926,4.908,4.92
2021-11-30T07:00:00+03:00,4.92,4.956,4.916,4.946
2021-11-30T07:15:00+03:00,4.946,4.952,4.926,4.938
2021-11-30T07:30:00+03:00,4.936,4.948,4.922,4.928
2021-11-30T07:45:00+03:00,4.927,4.945,4.927,4.945
